-------------------------------------------------------------------------------------
| pred                                                                  | frequency |
| <http://dbpedia.org/ontology/soundRecording>                          | 9         |
| <http://dbpedia.org/property/clubs>                                   | 9         |
| <http://dbpedia.org/property/education>                               | 9         |
| <http://dbpedia.org/property/established>                             | 9         |
| <http://dbpedia.org/property/filename>                                | 9         |
| <http://dbpedia.org/property/gnd>                                     | 9         |
| <http://dbpedia.org/property/goals>                                   | 9         |
| <http://dbpedia.org/property/influenced>                              | 9         |
| <http://dbpedia.org/property/logo>                                    | 9         |
| <http://dbpedia.org/property/office>                                  | 9         |
| <http://dbpedia.org/property/origin>                                  | 9         |
| <http://dbpedia.org/property/party>                                   | 9         |
| <http://dbpedia.org/property/populationAsOf>                          | 9         |
| <http://dbpedia.org/property/populationTotal>                         | 9         |
| <http://dbpedia.org/property/reason>                                  | 9         |
| <http://dbpedia.org/property/state>                                   | 9         |
| <http://dbpedia.org/property/status>                                  | 9         |
| <http://dbpedia.org/property/termEnd>                                 | 9         |
| <http://dbpedia.org/property/year>                                    | 9         |
| <http://dbpedia.org/ontology/influenced>                              | 8         |
| <http://dbpedia.org/ontology/stateOfOrigin>                           | 8         |
| <http://dbpedia.org/ontology/title>                                   | 8         |
| <http://dbpedia.org/property/affiliations>                            | 8         |
| <http://dbpedia.org/property/alias>                                   | 8         |
| <http://dbpedia.org/property/battles>                                 | 8         |
| <http://dbpedia.org/property/birthname>                               | 8         |
| <http://dbpedia.org/property/caps>                                    | 8         |
| <http://dbpedia.org/property/citizenship>                             | 8         |
| <http://dbpedia.org/property/colors>                                  | 8         |
| <http://dbpedia.org/property/currentclub>                             | 8         |
| <http://dbpedia.org/property/deathCause>                              | 8         |
| <http://dbpedia.org/property/demolitionDate>                          | 8         |
| <http://dbpedia.org/property/description>                             | 8         |
| <http://dbpedia.org/property/founded>                                 | 8         |
| <http://dbpedia.org/property/honorificSuffix>                         | 8         |
| <http://dbpedia.org/property/isoRegion>                               | 8         |
| <http://dbpedia.org/property/officialName>                            | 8         |
