--------------------------------------------------------------------------------
| pred                                                             | frequency |
| <http://dbpedia.org/property/country>                            | 2         |
| <http://dbpedia.org/property/credits>                            | 2         |
| <http://dbpedia.org/property/deathPlace>                         | 2         |
| <http://dbpedia.org/property/field>                              | 2         |
| <http://dbpedia.org/property/footnotes>                          | 2         |
| <http://dbpedia.org/property/format>                             | 2         |
| <http://dbpedia.org/property/genre>                              | 2         |
| <http://dbpedia.org/property/halign>                             | 2         |
| <http://dbpedia.org/property/hansardcurr>                        | 2         |
| <http://dbpedia.org/property/imageCaption>                       | 2         |
| <http://dbpedia.org/property/imageSize>                          | 2         |
| <http://dbpedia.org/property/imagesize>                          | 2         |
| <http://dbpedia.org/property/knownFor>                           | 2         |
| <http://dbpedia.org/property/label>                              | 2         |
| <http://dbpedia.org/property/laterwork>                          | 2         |
| <http://dbpedia.org/property/leader>                             | 2         |
| <http://dbpedia.org/property/majority>                           | 2         |
| <http://dbpedia.org/property/medianhouseholdincome>              | 2         |
| <http://dbpedia.org/property/networth>                           | 2         |
| <http://dbpedia.org/property/notableworks>                       | 2         |
| <http://dbpedia.org/property/origin>                             | 2         |
| <http://dbpedia.org/property/otherparty>                         | 2         |
| <http://dbpedia.org/property/pnd>                                | 2         |
| <http://dbpedia.org/property/politicalParty>                     | 2         |
| <http://dbpedia.org/property/popMunicipality>                    | 2         |
| <http://dbpedia.org/property/president>                          | 2         |
| <http://dbpedia.org/property/primeminister>                      | 2         |
| <http://dbpedia.org/property/producer>                           | 2         |
| <http://dbpedia.org/property/profession>                         | 2         |
| <http://dbpedia.org/property/publicwhip>                         | 2         |
| <http://dbpedia.org/property/quote>                              | 2         |
| <http://dbpedia.org/property/rank>                               | 2         |
| <http://dbpedia.org/property/record>                             | 2         |
| <http://dbpedia.org/property/region>                             | 2         |
| <http://dbpedia.org/property/relations>                          | 2         |
| <http://dbpedia.org/property/residence>                          | 2         |
| <http://dbpedia.org/property/signature>                          | 2         |
| <http://dbpedia.org/property/successor>                          | 2         |
| <http://dbpedia.org/property/theywork>                           | 2         |
| <http://dbpedia.org/property/type>                               | 2         |
| <http://dbpedia.org/property/width>                              | 2         |
| <http://dbpedia.org/property/wikt>                               | 2         |
| <http://dbpedia.org/property/with>                               | 2         |
| <http://dbpedia.org/property/yearsActive>                        | 2         |
| <http://graves.cl:5002/demo/places_in_rensselaer_county_by_area> | 2         |
| <http://graves.cl:5002/links.htm>                                | 2         |
| <http://lsq.aksw.org/res/q-00f6a9f6-var-p1>                      | 2         |
| <http://lsq.aksw.org/res/q-178b0f4d-var-p1>                      | 2         |
| <http://lsq.aksw.org/res/q-1a7be58e-var-p1>                      | 2         |
| <http://lsq.aksw.org/res/q-217f0278-var-p1>                      | 2         |
| <http://lsq.aksw.org/res/q-29684a0b-var-p1>                      | 2         |
| <http://lsq.aksw.org/res/q-29684a0b-var-p4>                      | 2         |
| <http://lsq.aksw.org/res/q-29684a0b-var-p7>                      | 2         |
| <http://lsq.aksw.org/res/q-2daf5cb7-var-p1>                      | 2         |
| <http://lsq.aksw.org/res/q-4e8e3919-var-p1>                      | 2         |
| <http://lsq.aksw.org/res/q-6b6e1ca0-var-p1>                      | 2         |
| <http://lsq.aksw.org/res/q-6dfb3ca7-var-p1>                      | 2         |
| <http://lsq.aksw.org/res/q-7a3d1c34-var-p1>                      | 2         |
| <http://lsq.aksw.org/res/q-8fd6d557-var-p1>                      | 2         |
| <http://lsq.aksw.org/res/q-a8030393-var-p1>                      | 2         |
| <http://lsq.aksw.org/res/q-aa7e5b13-var-p1>                      | 2         |
| <http://lsq.aksw.org/res/q-cf61dd6d-var-p1>                      | 2         |
| <http://lsq.aksw.org/res/q-e45ca2f1-var-p1>                      | 2         |
| <http://lsq.aksw.org/res/q-fa7658c0-var-p1>                      | 2         |
| <http://lsq.aksw.org/res/q-fa7658c0-var-p4>                      | 2         |
| <http://lsq.aksw.org/res/q-fa7658c0-var-p7>                      | 2         |
| <http://xmlns.com/foaf/0.1/nick>                                 | 2         |
| <http://dbpedia.org/ontology/Person/height>                      | 1         |
| <http://dbpedia.org/ontology/Work/runtime>                       | 1         |
| <http://dbpedia.org/ontology/artist>                             | 1         |
| <http://dbpedia.org/ontology/associate>                          | 1         |
| <http://dbpedia.org/ontology/associatedBand>                     | 1         |
| <http://dbpedia.org/ontology/battle>                             | 1         |
| <http://dbpedia.org/ontology/board>                              | 1         |
| <http://dbpedia.org/ontology/careerStation>                      | 1         |
| <http://dbpedia.org/ontology/circulation>                        | 1         |
| <http://dbpedia.org/ontology/citizenship>                        | 1         |
| <http://dbpedia.org/ontology/deathCause>                         | 1         |
| <http://dbpedia.org/ontology/depictionDescription>               | 1         |
| <http://dbpedia.org/ontology/doctoralStudent>                    | 1         |
| <http://dbpedia.org/ontology/editor>                             | 1         |
| <http://dbpedia.org/ontology/employer>                           | 1         |
| <http://dbpedia.org/ontology/era>                                | 1         |
| <http://dbpedia.org/ontology/ethnicity>                          | 1         |
| <http://dbpedia.org/ontology/field>                              | 1         |
| <http://dbpedia.org/ontology/foundationdate>                     | 1         |
| <http://dbpedia.org/ontology/governor>                           | 1         |
| <http://dbpedia.org/ontology/individualisedGnd>                  | 1         |
| <http://dbpedia.org/ontology/inseeCode>                          | 1         |
| <http://dbpedia.org/ontology/institution>                        | 1         |
| <http://dbpedia.org/ontology/instrument>                         | 1         |
| <http://dbpedia.org/ontology/issn>                               | 1         |
| <http://dbpedia.org/ontology/language>                           | 1         |
| <http://dbpedia.org/ontology/lieutenant>                         | 1         |
| <http://dbpedia.org/ontology/logo>                               | 1         |
| <http://dbpedia.org/ontology/managerClub>                        | 1         |
| <http://dbpedia.org/ontology/militaryBranch>                     | 1         |
| <http://dbpedia.org/ontology/militaryCommand>                    | 1         |
| <http://dbpedia.org/ontology/militaryRank>                       | 1         |
| <http://dbpedia.org/ontology/monarch>                            | 1         |
| <http://dbpedia.org/ontology/number>                             | 1         |
| <http://dbpedia.org/ontology/partner>                            | 1         |
| <http://dbpedia.org/ontology/philosophicalSchool>                | 1         |
| <http://dbpedia.org/ontology/position>                           | 1         |
| <http://dbpedia.org/ontology/predecessor>                        | 1         |
| <http://dbpedia.org/ontology/president>                          | 1         |
| <http://dbpedia.org/ontology/previousWork>                       | 1         |
| <http://dbpedia.org/ontology/producer>                           | 1         |
| <http://dbpedia.org/ontology/pseudonym>                          | 1         |
| <http://dbpedia.org/ontology/recordLabel>                        | 1         |
| <http://dbpedia.org/ontology/recordedIn>                         | 1         |
| <http://dbpedia.org/ontology/region>                             | 1         |
| <http://dbpedia.org/ontology/relative>                           | 1         |
| <http://dbpedia.org/ontology/runtime>                            | 1         |
| <http://dbpedia.org/ontology/salary>                             | 1         |
| <http://dbpedia.org/ontology/serviceStartYear>                   | 1         |
| <http://dbpedia.org/ontology/subsequentWork>                     | 1         |
| <http://dbpedia.org/ontology/team>                               | 1         |
| <http://dbpedia.org/ontology/vicePresident>                      | 1         |
| <http://dbpedia.org/ontology/year>                               | 1         |
| <http://dbpedia.org/property/_2000pop>                           | 1         |
| <http://dbpedia.org/property/abstract>                           | 1         |
| <http://dbpedia.org/property/active>                             | 1         |
| <http://dbpedia.org/property/advertising>                        | 1         |
| <http://dbpedia.org/property/agent>                              | 1         |
| <http://dbpedia.org/property/alexa>                              | 1         |
| <http://dbpedia.org/property/alias>                              | 1         |
| <http://dbpedia.org/property/allegiance>                         | 1         |
| <http://dbpedia.org/property/alt>                                | 1         |
| <http://dbpedia.org/property/ancestry>                           | 1         |
| <http://dbpedia.org/property/appointed>                          | 1         |
| <http://dbpedia.org/property/apprehended>                        | 1         |
| <http://dbpedia.org/property/artist>                             | 1         |
| <http://dbpedia.org/property/as>                                 | 1         |
| <http://dbpedia.org/property/assets>                             | 1         |
| <http://dbpedia.org/property/autocat>                            | 1         |
| <http://dbpedia.org/property/award>                              | 1         |
| <http://dbpedia.org/property/b>                                  | 1         |
| <http://dbpedia.org/property/badge>                              | 1         |
| <http://dbpedia.org/property/ballot>                             | 1         |
| <http://dbpedia.org/property/based>                              | 1         |
| <http://dbpedia.org/property/batAvg>                             | 1         |
| <http://dbpedia.org/property/bestBowling>                        | 1         |
| <http://dbpedia.org/property/bishopOf>                           | 1         |
| <http://dbpedia.org/property/bloomberg>                          | 1         |
| <http://dbpedia.org/property/boards>                             | 1         |
| <http://dbpedia.org/property/bot>                                | 1         |
| <http://dbpedia.org/property/bowlAvg>                            | 1         |
| <http://dbpedia.org/property/bowling>                            | 1         |
| <http://dbpedia.org/property/branch>                             | 1         |
| <http://dbpedia.org/property/burialSite>                         | 1         |
| <http://dbpedia.org/property/cSpan>                              | 1         |
| <http://dbpedia.org/property/candidate>                          | 1         |
| <http://dbpedia.org/property/catches/stumpings>                  | 1         |
| <http://dbpedia.org/property/category>                           | 1         |
| <http://dbpedia.org/property/change>                             | 1         |
| <http://dbpedia.org/property/charge>                             | 1         |
| <http://dbpedia.org/property/circulationYear>                    | 1         |
| <http://dbpedia.org/property/citizenship>                        | 1         |
| <http://dbpedia.org/property/class>                              | 1         |
| <http://dbpedia.org/property/club>                               | 1         |
| <http://dbpedia.org/property/clubUpdate>                         | 1         |
| <http://dbpedia.org/property/color>                              | 1         |
| <http://dbpedia.org/property/columns>                            | 1         |
| <http://dbpedia.org/property/colwidth>                           | 1         |
| <http://dbpedia.org/property/commands>                           | 1         |
| <http://dbpedia.org/property/commons>                            | 1         |
| <http://dbpedia.org/property/company>                            | 1         |
| <http://dbpedia.org/property/companySlogan>                      | 1         |
| <http://dbpedia.org/property/companyType>                        | 1         |
| <http://dbpedia.org/property/congbio>                            | 1         |
| <http://dbpedia.org/property/congregation>                       | 1         |
| <http://dbpedia.org/property/congress>                           | 1         |
| <http://dbpedia.org/property/constituency>                       | 1         |
| <http://dbpedia.org/property/convictionPenalty>                  | 1         |
| <http://dbpedia.org/property/convictionStatus>                   | 1         |
| <http://dbpedia.org/property/coronet>                            | 1         |
| <http://dbpedia.org/property/cover>                              | 1         |
| <http://dbpedia.org/property/crest>                              | 1         |
| <http://dbpedia.org/property/currentClub>                        | 1         |
| <http://dbpedia.org/property/currentStatus>                      | 1         |
| <http://dbpedia.org/property/currentclub>                        | 1         |
| <http://dbpedia.org/property/d>                                  | 1         |
| <http://dbpedia.org/property/date>                               | 1         |
| <http://dbpedia.org/property/deathCause>                         | 1         |
| <http://dbpedia.org/property/debutdate>                          | 1         |
| <http://dbpedia.org/property/debutfor>                           | 1         |
| <http://dbpedia.org/property/debutyear>                          | 1         |
| <http://dbpedia.org/property/denomination>                       | 1         |
| <http://dbpedia.org/property/department>                         | 1         |
| <http://dbpedia.org/property/description>                        | 1         |
| <http://dbpedia.org/property/direction>                          | 1         |
| <http://dbpedia.org/property/display>                            | 1         |
| <http://dbpedia.org/property/district>                           | 1         |
| <http://dbpedia.org/property/doctoralStudents>                   | 1         |
| <http://dbpedia.org/property/editor>                             | 1         |
| <http://dbpedia.org/property/employer>                           | 1         |
| <http://dbpedia.org/property/ended>                              | 1         |
| <http://dbpedia.org/property/endyear>                            | 1         |
| <http://dbpedia.org/property/enthroned>                          | 1         |
| <http://dbpedia.org/property/era>                                | 1         |
| <http://dbpedia.org/property/escutcheon>                         | 1         |
| <http://dbpedia.org/property/ethnicity>                          | 1         |
| <http://dbpedia.org/property/family>                             | 1         |
| <http://dbpedia.org/property/fec>                                | 1         |
| <http://dbpedia.org/property/fields>                             | 1         |
| <http://dbpedia.org/property/filename>                           | 1         |
| <http://dbpedia.org/property/finaldate>                          | 1         |
| <http://dbpedia.org/property/first>                              | 1         |
| <http://dbpedia.org/property/firstdate>                          | 1         |
| <http://dbpedia.org/property/fivefor>                            | 1         |
| <http://dbpedia.org/property/foundation>                         | 1         |
| <http://dbpedia.org/property/founder>                            | 1         |
| <http://dbpedia.org/property/frequency>                          | 1         |
| <http://dbpedia.org/property/fullname>                           | 1         |
| <http://dbpedia.org/property/gender>                             | 1         |
| <http://dbpedia.org/property/gnd>                                | 1         |
| <http://dbpedia.org/property/govtrack>                           | 1         |
| <http://dbpedia.org/property/group>                              | 1         |
| <http://dbpedia.org/property/guardian>                           | 1         |
| <http://dbpedia.org/property/hansard>                            | 1         |
| <http://dbpedia.org/property/headline>                           | 1         |
| <http://dbpedia.org/property/homeStation>                        | 1         |
| <http://dbpedia.org/property/homeTown>                           | 1         |
| <http://dbpedia.org/property/house>                              | 1         |
| <http://dbpedia.org/property/image>                              | 1         |
| <http://dbpedia.org/property/imageFile>                          | 1         |
| <http://dbpedia.org/property/imageName>                          | 1         |
| <http://dbpedia.org/property/imageWidth>                         | 1         |
| <http://dbpedia.org/property/imdb>                               | 1         |
| <http://dbpedia.org/property/imgw>                               | 1         |
| <http://dbpedia.org/property/industry>                           | 1         |
| <http://dbpedia.org/property/institution>                        | 1         |
| <http://dbpedia.org/property/instrument>                         | 1         |
| <http://dbpedia.org/property/issn>                               | 1         |
| <http://dbpedia.org/property/issue>                              | 1         |
| <http://dbpedia.org/property/italicTitle>                        | 1         |
| <http://dbpedia.org/property/journalisted>                       | 1         |
| <http://dbpedia.org/property/jr/sr>                              | 1         |
| <http://dbpedia.org/property/keyPeople>                          | 1         |
| <http://dbpedia.org/property/known+for>                          | 1         |
| <http://dbpedia.org/property/languagesSpoken>                    | 1         |
| <http://dbpedia.org/property/last>                               | 1         |
| <http://dbpedia.org/property/lastAired>                          | 1         |
| <http://dbpedia.org/property/lastAlbum>                          | 1         |
| <http://dbpedia.org/property/lastagainst>                        | 1         |
| <http://dbpedia.org/property/lastfor>                            | 1         |
| <http://dbpedia.org/property/lastyear>                           | 1         |
| <http://dbpedia.org/property/latd>                               | 1         |
| <http://dbpedia.org/property/latm>                               | 1         |
| <http://dbpedia.org/property/legistorm>                          | 1         |
| <http://dbpedia.org/property/length>                             | 1         |
| <http://dbpedia.org/property/lieutenant>                         | 1         |
| <http://dbpedia.org/property/locationCity>                       | 1         |
| <http://dbpedia.org/property/locationCountry>                    | 1         |
| <http://dbpedia.org/property/logo>                               | 1         |
| <http://dbpedia.org/property/longd>                              | 1         |
| <http://dbpedia.org/property/longm>                              | 1         |
| <http://dbpedia.org/property/m>                                  | 1         |
| <http://dbpedia.org/property/medium>                             | 1         |
| <http://dbpedia.org/property/militaryService>                    | 1         |
| <http://dbpedia.org/property/misc>                               | 1         |
| <http://dbpedia.org/property/monarch>                            | 1         |
| <http://dbpedia.org/property/monuments>                          | 1         |
| <http://dbpedia.org/property/mother>                             | 1         |
| <http://dbpedia.org/property/motto>                              | 1         |
| <http://dbpedia.org/property/movement>                           | 1         |
| <http://dbpedia.org/property/mw>                                 | 1         |
| <http://dbpedia.org/property/n>                                  | 1         |
| <http://dbpedia.org/property/nationalyears>                      | 1         |
| <http://dbpedia.org/property/nativeName>                         | 1         |
