--------------------------------------------------------------------
| pred                                                 | frequency |
| <http://lsq.aksw.org/res/q-ff03a2f6-var-p7>          | 2         |
| <http://dbpedia.org/ontology/builder>                | 1         |
| <http://dbpedia.org/ontology/district>               | 1         |
| <http://dbpedia.org/ontology/formerCoach>            | 1         |
| <http://dbpedia.org/ontology/lastAirDate>            | 1         |
| <http://dbpedia.org/ontology/notableWork>            | 1         |
| <http://dbpedia.org/ontology/owningOrganisation>     | 1         |
| <http://dbpedia.org/ontology/university>             | 1         |
| <http://dbpedia.org/property/%3C/nowiki%3EXIsInMay)> | 1         |
| <http://dbpedia.org/property/_2000pop>               | 1         |
| <http://dbpedia.org/property/availableOn>            | 1         |
| <http://dbpedia.org/property/awardsGivenToAre>       | 1         |
| <http://dbpedia.org/property/deathDate>              | 1         |
| <http://dbpedia.org/property/governor>               | 1         |
| <http://dbpedia.org/property/medianhouseholdincome>  | 1         |
| <http://dbpedia.org/property/producer>               | 1         |
| <http://dbpedia.org/resource/U.S._state_nicknames>   | 1         |
| <http://lsq.aksw.org/res/q-00955a47-var-p>           | 1         |
| <http://lsq.aksw.org/res/q-01fca598-var-pi>          | 1         |
| <http://lsq.aksw.org/res/q-01fca598-var-po>          | 1         |
| <http://lsq.aksw.org/res/q-02f74eff-var-pi>          | 1         |
| <http://lsq.aksw.org/res/q-02f74eff-var-po>          | 1         |
| <http://lsq.aksw.org/res/q-0324136c-var-o>           | 1         |
| <http://lsq.aksw.org/res/q-052f530a-var-pi>          | 1         |
| <http://lsq.aksw.org/res/q-052f530a-var-po>          | 1         |
| <http://lsq.aksw.org/res/q-05f817db-var-pi>          | 1         |
| <http://lsq.aksw.org/res/q-05f817db-var-po>          | 1         |
| <http://lsq.aksw.org/res/q-0b0baa8d-var-pi>          | 1         |
| <http://lsq.aksw.org/res/q-0b0baa8d-var-po>          | 1         |
| <http://lsq.aksw.org/res/q-1017a552-var-pi>          | 1         |
| <http://lsq.aksw.org/res/q-1017a552-var-po>          | 1         |
| <http://lsq.aksw.org/res/q-12324850-var-pi>          | 1         |
| <http://lsq.aksw.org/res/q-12324850-var-po>          | 1         |
| <http://lsq.aksw.org/res/q-15ce5a95-var-pi>          | 1         |
| <http://lsq.aksw.org/res/q-15ce5a95-var-po>          | 1         |
| <http://lsq.aksw.org/res/q-166dfbe2-var-pi>          | 1         |
| <http://lsq.aksw.org/res/q-166dfbe2-var-po>          | 1         |
| <http://lsq.aksw.org/res/q-1864e9dc-var-p>           | 1         |
| <http://lsq.aksw.org/res/q-1cfb1bbf-var-o>           | 1         |
| <http://lsq.aksw.org/res/q-2ea0275a-var-pi>          | 1         |
| <http://lsq.aksw.org/res/q-2ea0275a-var-po>          | 1         |
| <http://lsq.aksw.org/res/q-30978a67-var-pi>          | 1         |
| <http://lsq.aksw.org/res/q-30978a67-var-po>          | 1         |
| <http://lsq.aksw.org/res/q-36a1b554-var-pi>          | 1         |
| <http://lsq.aksw.org/res/q-36a1b554-var-po>          | 1         |
| <http://lsq.aksw.org/res/q-3b4107bf-var-p>           | 1         |
| <http://lsq.aksw.org/res/q-41012e69-var-o>           | 1         |
| <http://lsq.aksw.org/res/q-431e1125-var-pi>          | 1         |
| <http://lsq.aksw.org/res/q-431e1125-var-po>          | 1         |
| <http://lsq.aksw.org/res/q-4705f9cd-var-pi>          | 1         |
| <http://lsq.aksw.org/res/q-4705f9cd-var-po>          | 1         |
