---------------------------------------------------------------------------------------------------
| pred                                                                                | predCount |
| <http://dbpedia.org/property/companyType>                                           | 5         |
| <http://dbpedia.org/property/genre>                                                 | 5         |
| <http://dbpedia.org/property/icao>                                                  | 5         |
| <http://dbpedia.org/property/imageFlag>                                             | 5         |
| <http://dbpedia.org/property/knownFor>                                              | 5         |
| <http://dbpedia.org/property/latD>                                                  | 5         |
| <http://dbpedia.org/property/latM>                                                  | 5         |
| <http://dbpedia.org/property/location>                                              | 5         |
| <http://dbpedia.org/property/longD>                                                 | 5         |
| <http://dbpedia.org/property/longM>                                                 | 5         |
| <http://dbpedia.org/property/populationDemonym>                                     | 5         |
| <http://dbpedia.org/property/province>                                              | 5         |
| <http://dbpedia.org/resource/Cities_in_Austria>                                     | 5         |
| <http://www.w3.org/2001/vcard-rdf/3.0#Family>                                       | 5         |
| <http://www.w3.org/2001/vcard-rdf/3.0#Given>                                        | 5         |
| <http://xmlns.com/foaf/0.1/thumbnail>                                               | 5         |
| <http://xmlns.com/foaf/0.1/type>                                                    | 5         |
| <http://data.linkedmdb.org/resource/movie/actor_name>                               | 4         |
| <http://dbpedia.org/ontology/Person/birthDate>                                      | 4         |
| <http://dbpedia.org/ontology/anthem>                                                | 4         |
| <http://dbpedia.org/ontology/associatedBand>                                        | 4         |
| <http://dbpedia.org/ontology/award>                                                 | 4         |
| <http://dbpedia.org/ontology/doctoralStudent>                                       | 4         |
| <http://dbpedia.org/ontology/instrument>                                            | 4         |
| <http://dbpedia.org/ontology/origin>                                                | 4         |
| <http://dbpedia.org/ontology/runwayLength>                                          | 4         |
| <http://dbpedia.org/ontology/saint>                                                 | 4         |
| <http://dbpedia.org/ontology/utcOffset>                                             | 4         |
| <http://dbpedia.org/ontology/wikiPageID>                                            | 4         |
| <http://dbpedia.org/property/altSportCode>                                          | 4         |
| <http://dbpedia.org/property/commonsTitre>                                          | 4         |
| <http://dbpedia.org/property/inchi>                                                 | 4         |
| <http://dbpedia.org/property/nationality>                                           | 4         |
| <http://dbpedia.org/property/releaseDate>                                           | 4         |
| <http://dbpedia.org/property/section>                                               | 4         |
| <http://dbpedia.org/property/sportCode>                                             | 4         |
| <http://dbpedia.org/property/starringstarring>                                      | 4         |
| <http://dbpedia.org/property/yearEnd>                                               | 4         |
| <http://dbpedia.org/resource/Animal>                                                | 4         |
| <http://learningsparql.com/ns/addressbook#lastName>                                 | 4         |
| <http://purl.org/dc/terms/title>                                                    | 4         |
| <http://www.georss.org/georss/pointpoint>                                           | 4         |
| <http://www.w3.org/2001/vcard-rdf/3.0#N>                                            | 4         |
| <http://www.w3.org/2001/vcard-rdf/3.0#familyName>                                   | 4         |
| <http://www.w3.org/2001/vcard-rdf/3.0#givenName>                                    | 4         |
| <http://xmlns.com/foaf/0.1/family_name>                                             | 4         |
| <http://xmlns.com/foaf/0.1/firstname>                                               | 4         |
| <http://xmlns.com/foaf/0.1/givenname>                                               | 4         |
| <http://xmlns.com/foaf/0.1/weblog>                                                  | 4         |
| <http://dannyayers.com:8888/ontoworld/firstName>                                    | 3         |
| <http://dannyayers.com:8888/ontoworld/lastName>                                     | 3         |
| <http://dbpedia.org/Animal>                                                         | 3         |
| <http://dbpedia.org/ontology/Artist/genre>                                          | 3         |
| <http://dbpedia.org/ontology/director>                                              | 3         |
| <http://dbpedia.org/ontology/dissolutionYear>                                       | 3         |
| <http://dbpedia.org/ontology/elevation>                                             | 3         |
| <http://dbpedia.org/ontology/language>                                              | 3         |
| <http://dbpedia.org/ontology/meshId>                                                | 3         |
| <http://dbpedia.org/ontology/musicSubgenre>                                         | 3         |
| <http://dbpedia.org/ontology/riverMouth>                                            | 3         |
| <http://dbpedia.org/ontology/startDate>                                             | 3         |
| <http://dbpedia.org/ontology/stylisticOrigin>                                       | 3         |
| <http://dbpedia.org/ontology/type>                                                  | 3         |
| <http://dbpedia.org/ontology/wikiPageRevisionID>                                    | 3         |
| <http://dbpedia.org/owl/birthDate>                                                  | 3         |
| <http://dbpedia.org/property/iso>                                                   | 3         |
| <http://dbpedia.org/property/nameFor>                                               | 3         |
| <http://dbpedia.org/property/north>                                                 | 3         |
| <http://dbpedia.org/property/occupation>                                            | 3         |
| <http://dbpedia.org/property/pasteurised>                                           | 3         |
| <http://dbpedia.org/property/stateParty>                                            | 3         |
| <http://dbpedia.org/property/yearsActive>                                           | 3         |
| <http://learningsparql.com/ns/addressbook#firstName>                                | 3         |
| <http://learningsparql.com/ns/addressbook#hasParent>                                | 3         |
| <http://learningsparql.com/ns/demo#location>                                        | 3         |
| <http://purl.org/NET/c4dm/timeline.owl#timeline>                                    | 3         |
| <http://www.daml.org/2003/01/periodictable/PeriodicTable#atomicNumber>              | 3         |
| <http://www.daml.org/2003/01/periodictable/PeriodicTable#atomicWeight>              | 3         |
| <http://www.daml.org/2003/01/periodictable/PeriodicTable#group>                     | 3         |
| <http://www.daml.org/2003/01/periodictable/PeriodicTable#symbol>                    | 3         |
| <http://www.w3.org/2000/01/rdf-schema#stadium>                                      | 3         |
| <http://www.w3.org/2001/01/rdf-schema#label>                                        | 3         |
| <http://www.w3.org/2004/02/skos/core#border>                                        | 3         |
| <http://xmlns.com/foaf/0.1/account>                                                 | 3         |
| <http://xmlns.com/foaf/0.1/holdsAccount>                                            | 3         |
| <http://xmlns.com/foaf/0.1/icqChatID>                                               | 3         |
| <http://xmlns.com/foaf/0.1/logo>                                                    | 3         |
| <http://xmlns.com/foaf/0.1/mbox_sha1sum>                                            | 3         |
| <http://xmlns.com/foaf/0.1/member>                                                  | 3         |
| <http://xmlns.com/foaf/0.1/msnChatID>                                               | 3         |
| <http://xmlns.com/foaf/0.1/nick>                                                    | 3         |
| <http://xmlns.com/foaf/0.1/openid>                                                  | 3         |
| <http://xmlns.com/foaf/spec/depiction>                                              | 3         |
| <dbpedia2:frMetropolePopulation>                                                    | 2         |
| <file:///home/samita/LSQ-master/prop>                                               | 2         |
| <http://data.linkedmdb.org/resource/movie/actor>                                    | 2         |
| <http://dbpedia.org/ontology/Artist/instrument>                                     | 2         |
| <http://dbpedia.org/ontology/areaCode>                                              | 2         |
| <http://dbpedia.org/ontology/coordinates>                                           | 2         |
| <http://dbpedia.org/ontology/creator>                                               | 2         |
| <http://dbpedia.org/ontology/editing>                                               | 2         |
| <http://dbpedia.org/ontology/governmentType>                                        | 2         |
| <http://dbpedia.org/ontology/place>                                                 | 2         |
| <http://dbpedia.org/ontology/season>                                                | 2         |
| <http://dbpedia.org/ontology/status>                                                | 2         |
| <http://dbpedia.org/owl/wikiPageWikiLink>                                           | 2         |
| <http://dbpedia.org/property/Ingredient>                                            | 2         |
| <http://dbpedia.org/property/Ingredients>                                           | 2         |
| <http://dbpedia.org/property/areaLandKm>                                            | 2         |
| <http://dbpedia.org/property/areaWaterKm>                                           | 2         |
| <http://dbpedia.org/property/boards>                                                | 2         |
| <http://dbpedia.org/property/born>                                                  | 2         |
| <http://dbpedia.org/property/founder>                                               | 2         |
| <http://dbpedia.org/property/hasPhotoCollection>                                    | 2         |
| <http://dbpedia.org/property/id>                                                    | 2         |
